case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-80234,4/1/2025,1039,Hit and run with vehicle/property damage only (M),EMBARCADERO RD/WAVERLEY ST,,Traffic Incidents,37.4403138,-122.1496145,"Waverley St & Embarcadero Rd, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Waverley+St+%26+Embarcadero+Rd,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb18e502738d:0x75b47cf491060644",intersection,intersection
25-80233,4/1/2025,1130,Grand theft:money/labor/property - Motor vehicle parts/accessories (F),1303 WAVERLEY ST,,Vehicle Crime,37.4409407,-122.15009350000001,"1303 Waverley St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=6210594093426423022,"premise,street_address",street_address_or_premise
25-01295,4/1/2025,1252,Suspicious Circumstances,129 EMERSON ST,,Public Order/Disturbance,37.4477225,-122.16719649999997,"129 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=9566630692307204396,"premise,street_address",street_address_or_premise
25-80232,4/1/2025,1628,Lost Property,11 MORTON ST,,Administrative/Other,37.445121199999996,-122.13173809999999,"11 Morton Way, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=2609404526639567311,"premise,street_address",street_address_or_premise
25-80235,4/2/2025,1046,Vandalism:deface property (F),3785 MIDDLEFIELD RD,,Property Crime,37.4231856,-122.11258830000001,"3785 Middlefield Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=5215496821241220883,"premise,street_address",street_address_or_premise
25-01307,4/2/2025,1730,Outside Assist,43 TULIP LN,,Administrative/Other,37.4474428,-122.1282126,"43 Tulip Ln, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=8331184327000938882,"premise,street_address",street_address_or_premise
25-01308,4/2/2025,1936,Petty theft w/2 or more priors - Shoplifting (F),180 EL CAMINO REAL,"BAXTER, DANIEL, M, B, DOB: 1981-07-16, SAN LEANDRO, 666.1(A)(1) PC, Booked",Theft,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-01319,4/2/2025,2241,DFCS Cross Report Information Only,MIDDLEFIELD RD,,Administrative/Other,37.4483883,-122.1530899,"Middlefield Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Middlefield+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fa35b186a39fb:0x5984eee2a66a9cc2",route,route
25-01318,4/2/2025,2251,FOUND PROPERTY,528 HIGH ST,,Administrative/Other,37.443379799999995,-122.16305589999999,"528 High St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=18041740550203445373,"premise,street_address",street_address_or_premise
25-80236,4/3/2025,48,Vandalism:deface property (F),561 HIGH ST,,Property Crime,37.4438453,-122.16253959999999,"561 High St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=9347524675249978037,street_address,street_address_or_premise
25-01322,4/3/2025,138,Mental Health Evaluation,PASTEUR DR,,Administrative/Other,37.4336725,-122.1791063,"Pasteur Dr, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=6169494416735882827,route,route
25-01326,4/3/2025,748,Grand theft:money/labor/property - All other larceny (F),310 VENTURA AVE,,Theft,37.418960399999996,-122.12907489999999,"310 Ventura Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=16109114621345814323,"premise,street_address",street_address_or_premise
