case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01278,3/31/2025,2019,Vehicle Accident/Injury,EMBARCADERO RD/EL CAMINO REAL,,Traffic Incidents,37.437312299999995,-122.15997739999999,"El Camino Real & Embarcadero Rd, Palo Alto, CA 94306, USA","https://maps.google.com/?q=El+Camino+Real+%26+Embarcadero+Rd,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbb2451e36ec1:0xfae160bd3cafc1b",intersection,intersection
25-01280,3/31/2025,2055,Vehicle Accident/Injury,ALMA ST/E CHARLESTON RD,,Traffic Incidents,37.414802099999996,-122.11848239999998,"E Charleston Rd & Alma St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=E+Charleston+Rd+%26+Alma+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fba65518a94fd:0x85f5f8408949eb15",intersection,intersection
25-01282,3/31/2025,2337,Robbery (F),2721 MIDTOWN CT,,Violent/Person Crime,37.434220599999996,-122.12824309999998,"2721 Midtown Ct, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=12995483076315022779,"premise,street_address",street_address_or_premise
25-01284,4/1/2025,750,Grand theft:money/labor/property - Motor vehicle theft (F),4260 TERMAN DR,,Vehicle Crime,37.4018071,-122.12718570000001,"4260 Terman Dr, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=12159087465606217991,"premise,street_address",street_address_or_premise
25-01286,4/1/2025,957,Vandalism:deface property (M),423 ALMA ST,,Property Crime,37.450664700000004,-122.17522740000001,"423 Alma St, Menlo Park, CA 94025, USA","https://maps.google.com/?q=423+Alma+St,+Menlo+Park,+CA+94025,+USA&ftid=0x808fa4b345785f41:0xc5fc29fd23f78918",street_address,street_address_or_premise
25-01290,4/1/2025,1253,DFCS Cross Report Information Only,901 HUTCHINSON AVENUE,,Administrative/Other,37.448524899999995,-122.14251929999999,"901 Hutchinson Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=4148694131816349605,"premise,street_address",street_address_or_premise
25-01291,4/1/2025,1317,Medical Assist,400 RAMONA ST,,Administrative/Other,37.446026499999995,-122.16371029999999,"400 Ramona St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=15503136705057444658,"subpremise,street_address",street_address_or_premise
25-01294,4/1/2025,1234,Suspicious Circumstances,649 UNIVERSITY AVE,,Administrative/Other,37.4503588,-122.15787429999999,"649 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=11343332547593014754,"premise,street_address",street_address_or_premise
25-01296,4/1/2025,1436,Vandalism:deface property (F),3000 HANOVER ST,,Property Crime,37.4153216,-122.14667139999999,"3000 Hanover St, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10657736251422685783,street_address,street_address_or_premise
25-01300,4/2/2025,915,Vehicle Accident/Non Injury,JUNIPERO SERRA BLVD/PAGE MILL RD,,Traffic Incidents,37.4063465,-122.15601369999997,"Junipero Serra Blvd & Page Mill Rd, California 94304, USA","https://maps.google.com/?q=Junipero+Serra+Blvd+%26+Page+Mill+Rd,+California+94304,+USA&ftid=0x808fbabc4398f309:0x5c497d0e63b000fb",intersection,intersection
25-01303,4/2/2025,1159,APS Cross Report Information Only,441 MATADERO AVE,,Administrative/Other,37.4196615,-122.13272659999998,"441 Matadero Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=11181612880990212352,"premise,street_address",street_address_or_premise
25-01304,4/2/2025,1435,Shoplifting (M),180 EL CAMINO REAL,,Theft,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-01306,4/2/2025,1832,Hit and run with vehicle/property damage only (M),2000 E BAYSHORE RD,,Traffic Incidents,37.452252699999995,-122.1264177,"2000 E Bayshore Rd, Palo Alto, CA 94303, USA","https://maps.google.com/?q=2000+E+Bayshore+Rd,+Palo+Alto,+CA+94303,+USA&ftid=0x808fbba7ad5e431d:0x733ebcdd2e8dc12",street_address,street_address_or_premise
25-01310,4/2/2025,1950,Mental Health Evaluation,GREER RD,,Administrative/Other,37.4404001,-122.1207308,"Greer Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=4353979339181900358,route,route
25-01311,4/2/2025,2144,Burglary - From motor vehicle (F),2350 BIRCH ST,,Vehicle Crime,37.42768040000001,-122.14446339999999,"2350 Birch St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=2350+Birch+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae5b7214d77:0xa97265441ad27b47",street_address,street_address_or_premise
25-01313,4/2/2025,2201,Burglary - From motor vehicle (F),391 CAMBRIDGE AVE,,Vehicle Crime,37.4272427,-122.1454607,"391 Cambridge Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=391+Cambridge+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae5c5642c51:0x80e6979bc861d08b",street_address,street_address_or_premise
25-01314,4/2/2025,2211,Burglary - From motor vehicle (F),200 HAMILTON AVE,,Vehicle Crime,37.443918599999996,-122.16130480000001,"200 Hamilton Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8622315635495800425,"subpremise,street_address",street_address_or_premise
25-01315,4/2/2025,2201,Burglary - From motor vehicle (F),391 CAMBRIDGE AVE,,Vehicle Crime,37.4272427,-122.1454607,"391 Cambridge Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=391+Cambridge+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae5c5642c51:0x80e6979bc861d08b",street_address,street_address_or_premise
25-01316,4/2/2025,2227,Burglary - From motor vehicle (F),391 CAMBRIDGE AVE,,Vehicle Crime,37.4272427,-122.1454607,"391 Cambridge Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=391+Cambridge+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae5c5642c51:0x80e6979bc861d08b",street_address,street_address_or_premise
25-80240,4/2/2025,1909,Vehicle Accident/Non Injury,UNIVERSITY AVE/CRESCENT DR,,Traffic Incidents,37.456047999999996,-122.145091,"Palo Alto, CA 94301, USA",https://maps.google.com/?cid=18065327201607963985,"bus_stop,transit_station,point_of_interest,establishment",specific_place
25-01327,4/3/2025,1046,Bench warrant/failure to appear on misdemeanor charge (M),300 BRADFORD ST,"LOPEZGALVAN, JORGE, M, H, DOB: 1977-05-20, EAST PALO ALTO, 978.5 PC, Outside Warrant/M, Booked",Warrant/Arrest,37.487886499999995,-122.23157549999999,"300 Bradford St, Redwood City, CA 94063, USA",https://maps.google.com/?cid=11820836905712771281,"premise,street_address",street_address_or_premise
25-01330,4/3/2025,1727,Mental Health Evaluation,MIDDLEFIELD RD,,Administrative/Other,37.4483883,-122.1530899,"Middlefield Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Middlefield+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fa35b186a39fb:0x5984eee2a66a9cc2",route,route
25-01331,4/3/2025,1909,Outside Warrant Arrest - Misdemeanor,445 BRYANT ST,"RODRIGUEZ, RAUL LOPEZ, M, H, DOB: 1978-09-19, PALO ALTO, Outside Warrant/M, Booked",Warrant/Arrest,37.446657200000004,-122.1619412,"445 Bryant St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=1487843547148381158,"premise,street_address",street_address_or_premise
25-80237,4/3/2025,1004,Hit and run with vehicle/property damage only (M),895 COMMERCIAL ST,,Traffic Incidents,37.4228686,-122.10056000000002,"895 Commercial St, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=2488060281340943517,"premise,street_address",street_address_or_premise
25-80238,4/3/2025,1052,Vandalism:deface property (F),BIRCH ST/CALIFORNIA AVE,,Property Crime,37.4274176,-122.1440038,"Birch St & California Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=Birch+St+%26+California+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae5a35ff0d3:0x19ec134773a8a236",intersection,intersection
25-80239,4/3/2025,1700,Grand theft:money/labor/property - Motor vehicle parts/accessories (F),3478 KENNETH DR,,Vehicle Crime,37.4321166,-122.11080539999998,"3478 Kenneth Dr, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=17666554977374286980,"premise,street_address",street_address_or_premise
25-01338,4/4/2025,838,Mental Health Evaluation,EL CAMINO REAL,,Administrative/Other,37.4203243,-122.1366538,"El Camino Real, Palo Alto, CA, USA","https://maps.google.com/?q=El+Camino+Real,+Palo+Alto,+CA,+USA&ftid=0x808fcb0b782c489d:0x380db039ff6cae75",route,route
